title;author;year;avg_rating;ratings;url
Ender's Shadow (The Shadow Series, #1);Orson Scott Card;1999;4.32;173902;https://www.goodreads.com/book/show/9532.Ender_s_Shadow
Cress (The Lunar Chronicles, #3);Marissa Meyer;2014;4.41;378338;https://www.goodreads.com/book/show/13206828-cress
God Emperor of Dune (Dune #4);Frank Herbert;1981;3.88;121622;https://www.goodreads.com/book/show/44439415-god-emperor-of-dune
Twenty Thousand Leagues Under the Sea (Captain Nemo, #2);Jules Verne;1869;3.89;258703;https://www.goodreads.com/book/show/33507.Twenty_Thousand_Leagues_Under_the_Sea
Cat’s Cradle (Paperback);Kurt Vonnegut Jr.;1963;4.15;410796;https://www.goodreads.com/book/show/135479.Cat_s_Cradle
Sea of Tranquility (Hardcover);Emily St. John Mandel;2022;4.07;250965;https://www.goodreads.com/book/show/58446227-sea-of-tranquility
The 5th Wave (The 5th Wave, #1);Rick Yancey;2013;4.01;463283;https://www.goodreads.com/book/show/16101128-the-5th-wave
Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5);Douglas Adams;1992;3.96;132222;https://www.goodreads.com/book/show/569429.Mostly_Harmless
The Andromeda Strain (Andromeda, #1);Michael Crichton;1969;3.91;259354;https://www.goodreads.com/book/show/7670.The_Andromeda_Strain
Sleeping Giants (Themis Files, #1);Sylvain Neuvel;2016;3.82;92565;https://www.goodreads.com/book/show/25733990-sleeping-giants
Contact (Kindle Edition);Carl Sagan;1985;4.15;145073;https://www.goodreads.com/book/show/53000876-contact
Red Mars (Mars Trilogy, #1);Kim Stanley Robinson;1992;3.86;83680;https://www.goodreads.com/book/show/77507.Red_Mars
Allegiant (Divergent, #3);Veronica Roth;2013;3.6;1075800;https://www.goodreads.com/book/show/18710190-allegiant
Binti (Binti, #1);Nnedi Okorafor;2015;3.86;74965;https://www.goodreads.com/book/show/25667918-binti
The Road (Hardcover);Cormac McCarthy;2006;3.99;932652;https://www.goodreads.com/book/show/6288.The_Road
The Fall of Hyperion (Hyperion Cantos, #2);Dan Simmons;1990;4.23;131084;https://www.goodreads.com/book/show/77565.The_Fall_of_Hyperion
Foundation's Edge (Foundation, #4);Isaac Asimov;1982;4.18;91603;https://www.goodreads.com/book/show/76683.Foundation_s_Edge
A Psalm for the Wild-Built (Monk & Robot, #1);Becky  Chambers;2021;4.27;124688;https://www.goodreads.com/book/show/40864002-a-psalm-for-the-wild-built
Seveneves (Kindle Edition);Neal Stephenson;2015;4.0;117521;https://www.goodreads.com/book/show/22816087-seveneves
Ubik (Paperback);Philip K. Dick;1969;4.11;111048;https://www.goodreads.com/book/show/22590.Ubik
Skyward (Skyward, #1);Brandon Sanderson;2018;4.48;145939;https://www.goodreads.com/book/show/36642458-skyward
A Clockwork Orange (Paperback);Anthony Burgess;1962;4.0;725528;https://www.goodreads.com/book/show/41817486-a-clockwork-orange
Network Effect (The Murderbot Diaries, #5);Martha Wells;2020;4.47;92230;https://www.goodreads.com/book/show/52381770-network-effect
Uglies (Uglies, #1);Scott Westerfeld;2005;3.85;673914;https://www.goodreads.com/book/show/24770.Uglies
A Memory Called Empire (Teixcalaan, #1);Arkady Martine;2019;4.12;60530;https://www.goodreads.com/book/show/37794149-a-memory-called-empire
Journey to the Center of the Earth (Mass Market Paperback);Jules Verne;1864;3.85;205580;https://www.goodreads.com/book/show/32829.Journey_to_the_Center_of_the_Earth
Morning Star (Red Rising Saga, #3);Pierce Brown;2016;4.52;245860;https://www.goodreads.com/book/show/18966806-morning-star
The Fifth Season (The Broken Earth, #1);N.K. Jemisin;2015;4.3;282698;https://www.goodreads.com/book/show/19161852-the-fifth-season
The Island of Dr. Moreau (Unknown Binding);H.G. Wells;1896;3.73;123802;https://www.goodreads.com/book/show/29981.The_Island_of_Dr_Moreau
Cibola Burn (The Expanse, #4);James S.A. Corey;2014;4.22;111477;https://www.goodreads.com/book/show/18656030-cibola-burn
The Lathe of Heaven (Paperback);Ursula K. Le Guin;1971;4.12;76927;https://www.goodreads.com/book/show/59924.The_Lathe_of_Heaven
Klara and the Sun (Hardcover);Kazuo Ishiguro;2021;3.75;360027;https://www.goodreads.com/book/show/54120408-klara-and-the-sun
The Windup Girl (Hardcover);Paolo Bacigalupi;2009;3.75;75758;https://www.goodreads.com/book/show/6597651-the-windup-girl
World War Z: An Oral History of the Zombie War (Hardcover);Max Brooks;2006;4.02;535013;https://www.goodreads.com/book/show/8908.World_War_Z
The Day of the Triffids (Paperback);John Wyndham;1951;4.01;109861;https://www.goodreads.com/book/show/530965.The_Day_of_the_Triffids
Cloud Atlas (Paperback);David Mitchell;2004;4.01;252958;https://www.goodreads.com/book/show/49628.Cloud_Atlas
Winter (The Lunar Chronicles, #4);Marissa Meyer;2015;4.42;287891;https://www.goodreads.com/book/show/13206900-winter
Children of the Mind (Ender's Saga, #4);Orson Scott Card;1996;3.78;109574;https://www.goodreads.com/book/show/31360.Children_of_the_Mind
11/22/63 (Hardcover);Stephen         King;2011;4.34;560608;https://www.goodreads.com/book/show/10644930-11-22-63
Scythe (Arc of a Scythe, #1);Neal Shusterman;2016;4.33;338520;https://www.goodreads.com/book/show/28954189-scythe
Foundation and Earth (Foundation, #5);Isaac Asimov;1986;4.07;74339;https://www.goodreads.com/book/show/29582.Foundation_and_Earth
Death's End (Remembrance of Earth’s Past, #3);Liu Cixin;2010;4.42;129400;https://www.goodreads.com/book/show/25451264-death-s-end
Prelude to Foundation (Paperback);Isaac Asimov;1988;4.16;89690;https://www.goodreads.com/book/show/30013.Prelude_to_Foundation
The Time Traveler’s Wife (ebook);Audrey Niffenegger;2003;4.0;1804959;https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife
Sphere (Paperback);Michael Crichton;1987;3.83;188600;https://www.goodreads.com/book/show/455373.Sphere
The Scorch Trials (The Maze Runner, #2);James Dashner;2010;3.9;596169;https://www.goodreads.com/book/show/7631105-the-scorch-trials
The Sparrow (The Sparrow, #1);Mary Doria Russell;1996;4.14;77101;https://www.goodreads.com/book/show/334176.The_Sparrow
A Scanner Darkly (Paperback);Philip K. Dick;1977;4.02;103924;https://www.goodreads.com/book/show/14817.A_Scanner_Darkly
Doomsday Book (Oxford Time Travel, #1);Connie Willis;1992;4.03;60984;https://www.goodreads.com/book/show/24983.Doomsday_Book
The Stars My Destination (Hardcover);Alfred Bester;1956;4.06;52309;https://www.goodreads.com/book/show/333867.The_Stars_My_Destination
A Fire Upon the Deep (Zones of Thought, #1);Vernor Vinge;1992;4.14;62631;https://www.goodreads.com/book/show/77711.A_Fire_Upon_the_Deep
A Closed and Common Orbit (Wayfarers, #2);Becky  Chambers;2016;4.37;76036;https://www.goodreads.com/book/show/29475447-a-closed-and-common-orbit
Heretics of Dune (Dune, #5);Frank Herbert;1984;3.86;87221;https://www.goodreads.com/book/show/44492287-heretics-of-dune
The Diamond Age: Or, a Young Lady's Illustrated Primer (Paperback);Neal Stephenson;1995;4.16;90727;https://www.goodreads.com/book/show/827.The_Diamond_Age
Nemesis Games (The Expanse, #5);James S.A. Corey;2015;4.44;100196;https://www.goodreads.com/book/show/22886612-nemesis-games
The Ghost Brigades (Old Man's War, #2);John Scalzi;2006;4.12;87267;https://www.goodreads.com/book/show/239399.The_Ghost_Brigades
Exhalation (Kindle Edition);Ted Chiang;2019;4.28;96140;https://www.goodreads.com/book/show/41160292-exhalation
Saga, Volume 1 (Paperback);Brian K. Vaughan;2012;4.17;339186;https://www.goodreads.com/book/show/15704307-saga-volume-1
The Lost World (Jurassic Park, #2);Michael Crichton;1995;3.85;160070;https://www.goodreads.com/book/show/8650.The_Lost_World
Revelation Space (Revelation Space, #1);Alastair Reynolds;2000;3.99;56962;https://www.goodreads.com/book/show/89187.Revelation_Space
The Illustrated Man (Paperback);Ray Bradbury;1951;4.13;100443;https://www.goodreads.com/book/show/24830.The_Illustrated_Man
The Sirens of Titan (Paperback);Kurt Vonnegut Jr.;1959;4.15;145239;https://www.goodreads.com/book/show/4982.The_Sirens_of_Titan
The Player of Games (Culture, #2);Iain M. Banks;1988;4.28;74136;https://www.goodreads.com/book/show/18630.The_Player_of_Games
Fugitive Telemetry (The Murderbot Diaries, #6);Martha Wells;2021;4.31;74436;https://www.goodreads.com/book/show/53205854-fugitive-telemetry
The Naked Sun (Robot, #2);Isaac Asimov;1958;4.19;58351;https://www.goodreads.com/book/show/30016.The_Naked_Sun
Gideon the Ninth (The Locked Tomb, #1);Tamsyn Muir;2019;4.21;146089;https://www.goodreads.com/book/show/42036538-gideon-the-ninth
Lock In (Lock In, #1);John Scalzi;2014;3.91;67988;https://www.goodreads.com/book/show/21418013-lock-in
Timeline (Mass Market Paperback);Michael Crichton;1999;3.87;209061;https://www.goodreads.com/book/show/7669.Timeline
Out of the Silent Planet (The Space Trilogy, #1);C.S. Lewis;1938;3.93;97460;https://www.goodreads.com/book/show/25350.Out_of_the_Silent_Planet
Roadside Picnic (Paperback);Arkady Strugatsky;1972;4.14;71786;https://www.goodreads.com/book/show/331256.Roadside_Picnic
Armada (Hardcover);Ernest Cline;2015;3.55;122136;https://www.goodreads.com/book/show/16278318-armada
The Girl with All the Gifts (The Girl With All the Gifts, #1);M.R. Carey;2014;3.95;232101;https://www.goodreads.com/book/show/17235026-the-girl-with-all-the-gifts
The Knife of Never Letting Go (Chaos Walking, #1);Patrick Ness;2008;3.97;196733;https://www.goodreads.com/book/show/20758104-the-knife-of-never-letting-go
Animal Farm (Mass Market Paperback);George Orwell;1945;3.99;4010847;https://www.goodreads.com/book/show/170448.Animal_Farm
We Are Legion (We Are Bob) (Bobiverse, #1);Dennis E. Taylor;2016;4.28;99142;https://www.goodreads.com/book/show/32109569-we-are-legion-we-are-bob
Dawn (Xenogenesis, #1);Octavia E. Butler;1987;4.16;54310;https://www.goodreads.com/book/show/60929.Dawn
The Collapsing Empire (The Interdependency, #1);John Scalzi;2017;4.12;54898;https://www.goodreads.com/book/show/30078567-the-collapsing-empire
The Gods Themselves (Paperback);Isaac Asimov;1972;4.09;64564;https://www.goodreads.com/book/show/41821.The_Gods_Themselves
Babylon’s Ashes (The Expanse, #6);James S.A. Corey;2016;4.25;85251;https://www.goodreads.com/book/show/25877663-babylon-s-ashes
Anathem (Hardcover);Neal Stephenson;2008;4.17;72403;https://www.goodreads.com/book/show/2845024-anathem
Chapterhouse: Dune (Dune #6);Frank Herbert;1985;3.89;71586;https://www.goodreads.com/book/show/44439416-chapterhouse
Dirk Gently's Holistic Detective Agency (Dirk Gently, #1);Douglas Adams;1987;3.97;142225;https://www.goodreads.com/book/show/365.Dirk_Gently_s_Holistic_Detective_Agency
We (Paperback);Yevgeny Zamyatin;1924;3.89;99915;https://www.goodreads.com/book/show/76171.We
The Death Cure (The Maze Runner, #3);James Dashner;2011;3.78;461396;https://www.goodreads.com/book/show/7864437-the-death-cure
Legend (Legend, #1);Marie Lu;2011;4.15;538445;https://www.goodreads.com/book/show/29863662-legend
The Mote in God's Eye (Moties, #1);Larry Niven;1974;4.07;70691;https://www.goodreads.com/book/show/100365.The_Mote_in_God_s_Eye
The Robots of Dawn (Robot, #3);Isaac Asimov;1983;4.19;50816;https://www.goodreads.com/book/show/41810.The_Robots_of_Dawn
Heir to the Empire (Star Wars: The Thrawn Trilogy, #1);Timothy Zahn;1991;4.17;94591;https://www.goodreads.com/book/show/40604754-heir-to-the-empire
Ancillary Sword (Imperial Radch, #2);Ann Leckie;2014;4.08;55752;https://www.goodreads.com/book/show/20706284-ancillary-sword
Shards of Honour  (Vorkosigan Saga, #1);Lois McMaster Bujold;1986;4.07;37882;https://www.goodreads.com/book/show/61903.Shards_of_Honour
Unwind (Unwind, #1);Neal Shusterman;2007;4.17;234662;https://www.goodreads.com/book/show/764347.Unwind
Cryptonomicon (Mass Market Paperback);Neal Stephenson;1999;4.24;113340;https://www.goodreads.com/book/show/816.Cryptonomicon
Vicious (Villains, #1);Victoria Schwab;2013;4.21;258928;https://www.goodreads.com/book/show/40874032-vicious
The Foundation Trilogy (Foundation, #1-3);Isaac Asimov;1953;4.42;104285;https://www.goodreads.com/book/show/46654.The_Foundation_Trilogy
The Power (Hardcover);Naomi Alderman;2016;3.76;236274;https://www.goodreads.com/book/show/29751398-the-power
Warcross (Warcross, #1);Marie Lu;2017;4.13;117093;https://www.goodreads.com/book/show/41014903-warcross
To Be Taught, If Fortunate (Paperback);Becky  Chambers;2019;4.2;46393;https://www.goodreads.com/book/show/43190272-to-be-taught-if-fortunate
I Am Number Four (Lorien Legacies, #1);Pittacus Lore;2010;3.94;344451;https://www.goodreads.com/book/show/7747374-i-am-number-four
Blindsight (Firefall, #1);Peter Watts;N/A;4.01;45052;https://www.goodreads.com/book/show/48484.Blindsight
Authority (Southern Reach, #2);Jeff VanderMeer;2014;3.54;88658;https://www.goodreads.com/book/show/18077769-authority
2010: Odyssey Two (Paperback);Arthur C. Clarke;1982;3.95;58208;https://www.goodreads.com/book/show/70539.2010
Across the Universe (Across the Universe, #1);Beth Revis;2011;3.77;118445;https://www.goodreads.com/book/show/8235178-across-the-universe
Pandora's Star (Commonwealth Saga, #1);Peter F. Hamilton;2004;4.23;50737;https://www.goodreads.com/book/show/45252.Pandora_s_Star
The Last Colony (Old Man's War, #3);John Scalzi;2007;4.09;66361;https://www.goodreads.com/book/show/88071.The_Last_Colony
Persepolis Rising (The Expanse, #7);James S.A. Corey;2017;4.37;74334;https://www.goodreads.com/book/show/28335696-persepolis-rising
The Kaiju Preservation Society (Hardcover);John Scalzi;2022;3.99;57702;https://www.goodreads.com/book/show/57693406-the-kaiju-preservation-society
A Princess of Mars (Barsoom, #1);Edgar Rice Burroughs;1912;3.81;58265;https://www.goodreads.com/book/show/40395.A_Princess_of_Mars
Forward the Foundation (Foundation, #7);Isaac Asimov;1993;4.16;57431;https://www.goodreads.com/book/show/76679.Forward_the_Foundation
Ready Player Two (Ready Player One, #2);Ernest Cline;2020;3.43;163238;https://www.goodreads.com/book/show/26082916-ready-player-two
To Sleep in a Sea of Stars (Fractalverse, #1);Christopher Paolini;2020;3.8;61576;https://www.goodreads.com/book/show/48829708-to-sleep-in-a-sea-of-stars
The End of Eternity (Mass Market Paperback);Isaac Asimov;1955;4.24;57663;https://www.goodreads.com/book/show/509784.The_End_of_Eternity
Matched (Matched, #1);Ally Condie;2010;3.62;790696;https://www.goodreads.com/book/show/7735333-matched
The Calculating Stars (Lady Astronaut Universe, #1);Mary Robinette Kowal;2018;3.96;34523;https://www.goodreads.com/book/show/33080122-the-calculating-stars
Endymion (Hyperion Cantos, #3);Dan Simmons;1996;4.19;63258;https://www.goodreads.com/book/show/3977.Endymion
Pretties (Uglies, #2);Scott Westerfeld;2005;3.84;265523;https://www.goodreads.com/book/show/24768.Pretties
The Stand (Audiobook);Stephen         King;1978;4.35;776391;https://www.goodreads.com/book/show/87591651-the-stand
I Am Legend (Kindle Edition);Richard Matheson;1954;4.06;136565;https://www.goodreads.com/book/show/40940649-i-am-legend
Record of a Spaceborn Few (Wayfarers, #3);Becky  Chambers;2018;4.12;50724;https://www.goodreads.com/book/show/32802595-record-of-a-spaceborn-few
Gemina (The Illuminae Files, #2);Amie Kaufman;2016;4.44;77800;https://www.goodreads.com/book/show/29236299-gemina
The Passage (The Passage, #1);Justin Cronin;2010;4.05;214769;https://www.goodreads.com/book/show/6690798-the-passage
The Long Earth (The Long Earth, #1);Terry Pratchett;2012;3.78;59884;https://www.goodreads.com/book/show/13147230-the-long-earth
To Say Nothing of the Dog (Oxford Time Travel, #2);Connie Willis;1997;4.11;41797;https://www.goodreads.com/book/show/77773.To_Say_Nothing_of_the_Dog
Spin (Spin, #1);Robert Charles Wilson;2005;4.03;41852;https://www.goodreads.com/book/show/910863.Spin
Steelheart (The Reckoners, #1);Brandon Sanderson;2013;4.14;184581;https://www.goodreads.com/book/show/17182126-steelheart
Saga, Volume 2 (Paperback);Brian K. Vaughan;2013;4.49;112925;https://www.goodreads.com/book/show/17131869-saga-volume-2
Tiamat's Wrath (The Expanse, #8);James S.A. Corey;2019;4.57;68971;https://www.goodreads.com/book/show/28335698-tiamat-s-wrath
